code,date,boards,turn,mom5,mom20,lim10,lim20,vol_ratio,log_amt,prev_pct,prev_limit,total_lim,y
000002,2025-12-10,1,6.5478,4.790419161676667,-16.13418530351437,0.0,0.0,2.532405682222038,9.509083067125877,-2.8513,False,54,0
000002,2026-09-18,1,4.5375,8.496732026143789,7.79220779220779,0.0,0.0,5.4402715502650185,9.152236863776988,-0.33,False,75,0
000004,2026-07-02,1,7.5217,57.69230769230768,,1.0,1.0,1.3696159893529343,6.582509910865445,8.8235,False,86,0
000004,2026-07-09,1,4.2566,2.439024390243901,,2.0,2.0,0.772847677416275,6.35057366167062,-5.0,False,64,0
000004,2026-07-13,1,2.7624,24.390243902439025,,3.0,3.0,0.7466456798283878,6.250223712967726,9.5238,False,27,0
000006,2025-09-24,1,5.1517,15.155279503105575,31.676136363636346,0.0,0.0,1.115850341463548,8.802575566486373,6.4394,False,67,0
000006,2025-09-30,1,3.6946,22.064056939501768,41.931034482758605,1.0,1.0,0.6323927370032913,8.701463980478927,-1.6824,False,45,0
000006,2025-10-10,1,8.4037,28.663793103448285,62.008141112618716,2.0,2.0,1.4878627467829704,9.108282702387864,5.4422,False,54,1
000006,2025-10-13,2,4.334,38.0651945320715,71.85863874345551,3.0,3.0,0.8391928415375968,8.878834494289203,10.0461,True,50,0
000006,2025-10-21,1,7.0884,-4.133430021754876,76.73796791443849,3.0,4.0,0.6365470643747859,9.081901907101862,-1.7974,False,68,0
000006,2026-05-12,1,6.0319,7.731958762886592,22.6525821596244,0.0,0.0,2.765764087236796,8.919829677087714,0.5291,False,51,0
000006,2026-05-18,1,2.5502,12.52631578947367,21.753986332574044,1.0,1.0,0.4970022774701562,8.5548435292346,-2.2133,False,73,0
000006,2026-08-13,1,2.8771,12.737920937042475,17.378048780487802,0.0,0.0,2.1415602457580905,8.453790143001939,3.0928,False,52,0
000007,2025-12-01,1,4.8328,15.761448349307756,26.395348837209312,0.0,0.0,1.6251307715502656,8.245425538145662,0.9193,False,56,0
000007,2025-12-15,1,9.9613,17.39130434782608,17.272727272727266,1.0,1.0,2.7471976141354366,8.595402234618202,4.559,False,55,0
000007,2026-04-30,1,3.3466,13.377192982456137,18.306636155606412,0.0,0.0,1.8243796524941467,8.237016125016723,-2.9594,False,71,0
000007,2026-08-18,1,3.2874,10.17907634307258,31.941309255079005,0.0,0.0,1.3254219683818478,8.10314396210957,-0.932,False,70,0
000007,2026-08-20,1,5.2288,10.009099181073708,30.42071197411002,1.0,1.0,1.7978424984657957,8.331445392293816,-5.988,False,59,0
000008,2025-11-11,1,11.4362,13.013698630137,13.793103448275872,0.0,0.0,5.962782853854822,9.001964924227547,1.3514,False,55,0
000008,2026-01-06,1,7.4782,8.620689655172413,3.278688524590166,0.0,0.0,5.586949603238479,8.79592305021658,0.3509,False,102,0
000008,2026-03-30,1,4.9465,15.564202334630366,0.3378378378378528,0.0,0.0,3.5483114831769305,8.594796202340536,1.1236,False,58,1
000008,2026-03-31,2,5.955,22.014925373134318,13.937282229965149,1.0,1.0,3.355287471154521,8.71969104428774,10.0,True,48,0
000009,2025-09-24,1,3.8154,5.992509363295895,20.04241781548251,0.0,0.0,2.496717533895027,9.030796794558052,0.7835,False,67,0
000009,2026-07-30,1,2.1819,14.583333333333329,14.03508771929826,0.0,0.0,2.307564082298013,8.591469606160151,3.3386,False,46,1
000009,2026-07-31,2,5.6024,29.44078947368419,23.161189358372454,1.0,1.0,5.0680192662483945,9.043460809593299,10.0,True,88,0
000010,2026-02-26,1,8.6768,13.687150837988838,10.597826086956516,0.0,0.0,3.1919526158045475,8.4506165569278,3.352,False,54,0
000010,2026-03-04,1,16.1511,19.459459459459467,25.568181818181813,1.0,1.0,1.5344499486138243,8.771186798725768,-3.5971,False,37,0
000010,2026-03-13,1,5.6083,2.7210884353741562,20.478723404255334,1.0,2.0,0.9155350687896111,8.325454782441778,-4.8499,False,57,0
000010,2026-04-13,1,5.5912,12.228260869565204,-8.830022075055197,0.0,1.0,2.3250635338595047,8.282593308479761,1.0782,False,55,0
000011,2025-10-23,1,1.8666,12.437810945273625,20.340788072417453,0.0,0.0,0.44148732912607247,8.045499756998307,2.3928,False,50,0
000011,2025-10-28,1,6.9478,10.269192422731805,22.61640798226165,1.0,1.0,1.5038386788780491,8.586478713223315,-2.8986,False,52,0
000011,2026-07-23,1,2.4322,12.425149700598809,9.475218658892118,0.0,0.0,1.7755236227784519,7.978591628166231,0.5891,False,104,1
000011,2026-07-24,2,4.756,24.58521870286576,24.58521870286576,1.0,1.0,3.271669387454171,8.310275494657999,9.9561,True,36,0
000011,2026-08-28,1,2.295,13.102595797280586,15.239294710327457,0.0,0.0,2.1581013085502962,8.03294174936489,2.337,False,78,1
000011,2026-08-31,2,2.1813,26.34880803011292,26.826196473551647,1.0,1.0,1.8821522042137222,8.063131961102652,9.976,True,79,0
000011,2026-09-08,1,6.6085,3.6026200873362484,16.01466992665037,2.0,2.0,1.0171907652360688,8.509110871348781,1.5294,False,71,0
000012,2026-02-25,1,5.4729,9.97876857749469,14.855875831485577,0.0,0.0,3.683189945531411,8.73587247174514,3.5165,False,68,0
000012,2026-05-21,1,2.9657,3.896103896103881,-11.699779249448127,0.0,0.0,2.776127164799825,8.356267101467136,-2.6738,False,34,1
000012,2026-05-22,2,6.4192,17.96246648793567,-2.86975717439293,1.0,1.0,4.996861663024892,8.71452713121804,9.8901,True,103,0
000012,2026-06-16,1,2.1868,2.7272727272727053,20.855614973262007,0.0,2.0,0.7782842444721112,8.277638841871415,2.75,False,109,0
000012,2026-06-22,1,4.6733,18.250000000000014,7.5,1.0,2.0,1.0987108096550735,8.619821566607493,-7.1274,False,123,0
000012,2026-06-30,1,5.5103,10.492505353319075,24.038461538461547,2.0,2.0,0.8825762669117119,8.737515507850055,-2.2917,False,115,0
000014,2025-09-23,1,12.9971,28.319123020706456,33.10170562223627,1.0,1.0,1.6212638518477984,8.791528616824396,3.794,False,46,0
000014,2025-10-16,1,7.2806,12.550403225806448,46.42622950819671,0.0,2.0,0.9300552566505857,8.580450105075396,-0.3436,False,38,0
000014,2026-02-09,1,2.1663,13.250194855806697,5.9037900874635625,0.0,0.0,1.114427455213253,7.881873971399205,-1.1967,False,74,0
000014,2026-03-10,1,5.6215,13.661636219221606,11.53546375681995,0.0,1.0,2.0654377260204937,8.275592415846791,-1.2149,False,49,0
000014,2026-07-16,1,6.2183,12.359550561797732,1.112234580384225,0.0,0.0,2.9610945867990686,8.164624787708727,0.8879,False,38,0
000016,2025-10-21,1,4.0597,7.6320939334637785,-1.4336917562724096,0.0,0.0,2.7021653115272493,8.536862679481187,0.6036,False,68,0
000016,2026-02-09,1,6.4643,-9.598214285714306,-21.05263157894737,0.0,0.0,1.1634318893829076,8.606192582821544,3.0812,False,74,0
