date,code,boards,score,buy_price,next_pct,is_limit_up,ret,reason
2025-10-21,600403,6,98.4,7.99,10.01,True,10.01,6板高位龙头，身位优势极大；近10日涨停6次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-10-22,600403,7,97.9,8.79,10.01,True,10.01,7板高位龙头，身位优势极大；近10日涨停7次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-10-23,600403,8,97.9,9.67,-6.31,False,-6.31,8板高位龙头，身位优势极大；近10日涨停8次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-10-28,000620,6,98.0,3.19,-4.7,False,-4.7,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-10-30,605178,6,94.0,63.48,10.0,True,10.0,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-10-31,605178,7,98.0,69.83,-8.56,False,-8.56,7板高位龙头，身位优势极大；近10日涨停6次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-11-04,603122,6,96.7,11.85,10.04,True,10.04,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-11-05,603122,7,97.6,13.04,9.97,True,9.97,7板高位龙头，身位优势极大；近10日涨停6次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-11-06,603122,8,94.7,14.34,9.97,True,9.97,8板高位龙头，身位优势极大；近10日涨停7次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-11-07,603122,9,93.7,15.77,5.26,False,5.26,9板高位龙头，身位优势极大；近10日涨停8次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-11-11,002451,6,94.9,12.55,10.04,True,10.04,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-11-12,002451,7,97.6,13.81,9.99,True,9.99,7板高位龙头，身位优势极大；近10日涨停6次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-11-13,002083,6,98.5,10.51,9.99,True,9.99,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-11-17,002083,8,98.7,12.72,-2.04,False,-2.04,8板高位龙头，身位优势极大；近10日涨停7次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-11-18,000407,6,96.8,6.7,-10.0,False,-10.0,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-11-19,003041,6,93.9,54.59,0.62,False,0.62,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-11-20,601566,7,91.8,18.41,-9.99,False,-9.99,7板高位龙头，身位优势极大；近10日涨停6次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-11-21,000017,6,91.9,9.23,-9.97,False,-9.97,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅21%，趋势向上；主板10cm涨停
2025-11-24,000798,7,97.9,16.6,-10.0,False,-10.0,7板高位龙头，身位优势极大；近10日涨停6次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-11-25,000070,6,96.0,12.65,10.04,True,10.04,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅21%，趋势向上；主板10cm涨停
2025-11-26,000070,7,96.1,13.92,3.74,False,3.74,7板高位龙头，身位优势极大；近10日涨停6次，资金反复攻击的强势股；5日涨幅33%，主升节奏；主板10cm涨停
2025-11-27,000952,7,95.2,10.42,-9.98,False,-9.98,7板高位龙头，身位优势极大；近10日涨停6次，资金反复攻击的强势股；5日涨幅33%，主升节奏；主板10cm涨停
2025-11-28,000078,6,94.7,3.4,10.0,True,10.0,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅21%，趋势向上；主板10cm涨停
2025-12-01,000078,7,96.5,3.74,9.89,True,9.89,7板高位龙头，身位优势极大；近10日涨停6次，资金反复攻击的强势股；5日涨幅33%，主升节奏；主板10cm涨停
2025-12-02,003018,7,96.9,24.83,-9.99,False,-9.99,7板高位龙头，身位优势极大；近10日涨停6次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-12-03,002702,6,96.5,9.64,-9.96,False,-9.96,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-12-09,000905,6,94.0,14.52,9.99,True,9.99,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅21%，趋势向上；主板10cm涨停
2025-12-10,002682,6,93.6,10.49,-6.01,False,-6.01,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-12-15,603601,6,93.6,9.27,0.65,False,0.65,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-12-18,600865,6,93.9,17.4,3.51,False,3.51,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-12-19,001331,6,97.8,26.14,9.98,True,9.98,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-12-22,001331,7,95.8,28.75,10.02,True,10.02,7板高位龙头，身位优势极大；近10日涨停6次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-12-23,001331,8,96.8,31.63,9.99,True,9.99,8板高位龙头，身位优势极大；近10日涨停7次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-12-24,002969,6,97.3,8.09,10.01,True,10.01,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-12-25,001331,10,99.0,38.27,10.01,True,10.01,10板高位龙头，身位优势极大；近10日涨停9次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-12-26,002969,8,99.0,9.79,10.01,True,10.01,8板高位龙头，身位优势极大；近10日涨停7次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-12-29,001331,12,99.0,46.31,0.0,False,0.0,12板高位龙头，身位优势极大；近10日涨停10次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-12-30,002969,10,96.7,11.85,6.84,False,6.84,10板高位龙头，身位优势极大；近10日涨停9次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2025-12-31,603278,6,96.9,17.04,-5.52,False,-5.52,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2026-01-05,002931,6,100.0,34.87,10.01,True,10.01,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2026-01-06,002931,7,99.9,38.36,10.01,True,10.01,7板高位龙头，身位优势极大；近10日涨停6次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
2026-01-07,002413,6,98.9,16.71,5.86,False,5.86,6板高位龙头，身位优势极大；近10日涨停5次，资金反复攻击的强势股；5日涨幅61%，主升节奏；主板10cm涨停
