date,code,boards,score,buy_price,next_pct,is_limit_up,ret,reason
2025-12-18,002853,3,33.663,21.62,4.07,False,4.07,3板高度，连板中位；近10日涨停3次，近期活跃；5日涨幅33%，主升节奏；主板10cm涨停
2025-12-19,002969,3,33.662,6.07,10.05,True,10.05,3板高度，连板中位；近10日涨停3次，近期活跃；5日涨幅33%，主升节奏；主板10cm涨停
2025-12-22,002361,3,32.518,8.99,10.01,True,10.01,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅26%，趋势向上；主板10cm涨停
2025-12-23,002163,3,33.307,17.59,10.01,True,10.01,3板高度，连板中位；近10日涨停3次，近期活跃；5日涨幅15%，趋势向上；主板10cm涨停
2025-12-24,000036,3,34.455,6.74,5.34,False,5.34,3板高度，连板中位；近10日涨停4次，近期活跃；5日涨幅23%，趋势向上；主板10cm涨停
2025-12-25,603698,3,34.997,37.42,5.26,False,5.26,3板高度，连板中位；近10日涨停4次，近期活跃；5日涨幅50%，主升节奏；主板10cm涨停
2025-12-26,603601,3,34.568,13.34,-5.1,False,-5.1,3板高度，连板中位；近10日涨停4次，近期活跃；5日涨幅28%，趋势向上；主板10cm涨停
2025-12-29,001270,3,36.295,84.32,3.53,False,3.53,3板高度，连板中位；近10日涨停6次，资金反复攻击的强势股；5日涨幅15%，温和上行；主板10cm涨停
2025-12-30,002591,3,32.733,9.02,-9.98,False,-9.98,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅37%，主升节奏；主板10cm涨停
2025-12-31,603667,3,32.815,69.98,6.03,False,6.03,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅41%，主升节奏；主板10cm涨停
2026-01-05,002713,3,35.0,9.43,4.98,True,4.98,3板高度，连板中位；近10日涨停5次，资金反复攻击的强势股；5日涨幅-13%，短期滞涨；主板10cm涨停
2026-01-06,001270,3,35.517,101.06,5.0,True,5.0,3板高度，连板中位；近10日涨停5次，资金反复攻击的强势股；5日涨幅26%，趋势向上；主板10cm涨停
2026-01-07,002592,3,36.352,9.62,-1.46,False,-1.46,3板高度，连板中位；近10日涨停6次，资金反复攻击的强势股；5日涨幅18%，趋势向上；主板10cm涨停
2026-01-08,600783,3,37.636,29.63,9.99,True,9.99,3板高度，连板中位；近10日涨停7次，资金反复攻击的强势股；5日涨幅32%，主升节奏；主板10cm涨停
2026-01-09,603015,3,32.727,17.11,9.99,True,9.99,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅36%，主升节奏；主板10cm涨停
2026-01-12,600879,3,35.902,31.56,-10.01,False,-10.01,3板高度，连板中位；近10日涨停5次，资金反复攻击的强势股；5日涨幅45%，主升节奏；主板10cm涨停
2026-01-13,603598,3,36.0,31.37,3.28,False,3.28,3板高度，连板中位；近10日涨停5次，资金反复攻击的强势股；5日涨幅53%，主升节奏；主板10cm涨停
2026-01-14,002718,3,36.867,68.56,-10.01,False,-10.01,3板高度，连板中位；近10日涨停6次，资金反复攻击的强势股；5日涨幅43%，主升节奏；主板10cm涨停
2026-01-15,002112,3,33.768,21.15,-5.58,False,-5.58,3板高度，连板中位；近10日涨停3次，近期活跃；5日涨幅38%，主升节奏；主板10cm涨停
2026-01-16,600785,3,32.685,18.82,9.99,True,9.99,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅34%，主升节奏；主板10cm涨停
2026-01-19,001270,2,27.205,135.43,-3.98,False,-3.98,2板高度，首板晋级后延续；近10日涨停7次，资金反复攻击的强势股；5日涨幅10%，温和上行；主板10cm涨停
2026-01-20,002358,3,32.652,7.81,-3.2,False,-3.2,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅33%，主升节奏；主板10cm涨停
2026-01-21,002931,3,37.662,82.25,10.01,True,10.01,3板高度，连板中位；近10日涨停7次，资金反复攻击的强势股；5日涨幅33%，主升节奏；主板10cm涨停
2026-01-22,002716,3,33.846,15.0,9.6,False,9.6,3板高度，连板中位；近10日涨停3次，近期活跃；5日涨幅42%，主升节奏；主板10cm涨停
2026-01-23,002342,3,35.388,13.54,1.26,False,1.26,3板高度，连板中位；近10日涨停5次，资金反复攻击的强势股；5日涨幅19%，趋势向上；主板10cm涨停
2026-01-26,001270,3,35.112,143.02,5.0,True,5.0,3板高度，连板中位；近10日涨停5次，资金反复攻击的强势股；5日涨幅6%，温和上行；主板10cm涨停
2026-01-27,001337,3,36.0,60.78,10.0,True,10.0,3板高度，连板中位；近10日涨停5次，资金反复攻击的强势股；5日涨幅53%，主升节奏；主板10cm涨停
2026-01-28,000506,3,35.683,25.93,9.99,True,9.99,3板高度，连板中位；近10日涨停5次，资金反复攻击的强势股；5日涨幅34%，主升节奏；主板10cm涨停
2026-01-29,600759,2,24.678,5.69,-4.22,False,-4.22,2板高度，首板晋级后延续；近10日涨停4次，近期活跃；5日涨幅34%，主升节奏；主板10cm涨停
2026-01-30,002455,3,32.585,9.59,-2.29,False,-2.29,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅29%，趋势向上；主板10cm涨停
2026-02-02,603103,3,32.809,28.05,10.02,True,10.02,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅40%，主升节奏；主板10cm涨停
2026-02-03,002830,3,32.655,28.14,9.99,True,9.99,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅33%，主升节奏；主板10cm涨停
2026-02-04,000711,3,34.485,2.46,4.88,True,4.88,3板高度，连板中位；近10日涨停4次，近期活跃；5日涨幅24%，趋势向上；主板10cm涨停
2026-02-05,603021,3,33.226,6.0,0.0,False,0.0,3板高度，连板中位；近10日涨停3次，近期活跃；5日涨幅11%，温和上行；主板10cm涨停
